D3 Three
D9 Nine
D0 Zero
D6 Six
D7 Seven
D8 Eight
D4 Four
D5 Five
D1 One
D2 Two
LE Echo
LD Delta
LW Whiskey
LK Kilo
LS Sierra
LT Tango
LU Uniform
LX X-ray
LJ Juliet
LC Charlie
LQ Quebec
LP Papa
LZ Zulu
LR Romeo
LF Foxtrot
LI India
LL Lima
LV Victor
LY Yankee
LG Golf
LH Hotel
LN November
LB Bravo
LO Oscar
LA Alpha
LM Mike
C1 Command
C2 Backspace
C3 Delete
C4 Enter
C5 Tab
C6 Escape
C7 Alt
C8 Control
C9 Shift
C10 Line
C11 Paragraph
C12 Sentence
C13 Paste
C14 Cut
C15 Copy
C16 Upward
C17 Downward
C18 Left
C19 Right
CW1 the
CW2 of
CW3 and
CW4 a
CW5 to
CW6 in
CW7 is
CW8 you
CW9 that
CW10 it
CW11 he
CW12 was
CW13 for
CW14 on
CW15 are
CW16 as
CW17 with
CW18 his
CW19 they
CW20 I
CW21 at
CW22 be
CW23 this
CW24 have
CW25 from
CW26 or
CW27 had
CW28 by
CW29 word
CW30 but
CW31 not
CW32 what
CW33 all
CW34 were
CW35 we
CW36 when
CW37 your
CW38 can
CW39 said
CW40 there
CW41 use
CW42 an
CW43 each
CW44 which
CW45 she
CW46 do
CW47 how
CW48 their
CW49 if
CW50 will
CW51 up
CW52 other
CW53 about
CW54 out
CW55 many
CW56 then
CW57 them
CW58 these
CW59 so
CW60 some
CW61 her
CW62 would
CW63 make
CW64 like
CW65 him
CW66 into
CW67 time
CW68 has
CW69 look
CW70 more
CW71 write
CW72 go
CW73 see
CW74 number
CW75 no
CW76 way
CW77 could
CW78 people
CW79 my
CW80 than
CW81 first
CW82 water
CW83 been
CW84 call
CW85 who
CW86 oil
CW87 its
CW88 now
CW89 find
CW90 long
CW91 down
CW92 day
CW93 did
CW94 get
CW95 come
CW96 made
CW97 may
CW98 part
CW99 oh
CW100 yes
UW1 naturalization
UW2 faithfulness
UW3 frugality
UW4 irresolute
UW5 psychological
UW6 supervision
UW7 able-bodied
UW8 bushels
UW9 cowboys
UW10 entertainer
UW11 gentlewoman
UW12 giggled
UW13 hypothesis
UW14 lethargy
UW15 merchandise
UW16 nevertheless
UW17 Pennsylvania
UW18 rejoinder
UW19 southeast
UW20 vouchsafe
UW21 achieve
UW22 adapt
UW23 autobiography
UW24 avenues
UW25 babyhood
UW26 behavior
UW27 bogies
UW28 boquets
UW29 casualties
UW30 cheshire
UW31 choking
UW32 circular
UW33 composure
UW34 epithet
UW35 equilibrium
UW36 exactitude
UW37 eyebrows
UW38 footmarks
UW39 fowler
UW40 ha-ha
UW41 inalienable
UW42 inquirers
UW43 jackdaws
UW44 journalism
UW45 legislature
UW46 moustache
UW47 overshadowed
UW48 perpetual
UW49 powwow
UW50 promulgate
UW51 python
UW52 adulation
UW53 advice
UW54 amethysts
UW55 annoyed
UW56 ashamed
UW57 Asia
UW58 azure
UW59 beguile
UW60 Birmingham
UW61 burrows
UW62 chatterbox
UW63 chauffeur
UW64 choice
UW65 chowder
UW66 cobblestones
UW67 Copenhagen
UW68 dissatisfaction
UW69 employment
UW70 futurity
UW71 gigantic
UW72 gouged
UW73 goulash
UW74 hallelujah
UW75 haranguing
UW76 hulk
UW77 immovable
UW78 interwoven
UW79 Joseph
UW80 massage
UW81 moisten
UW82 house
UW83 tree
UW84 window
UW85 telephone
UW86 cup
UW87 knife
UW88 spoon
UW89 girl
UW90 ball
UW91 wagon
UW92 shovel
UW93 monkey
UW94 banana
UW95 zipper
UW96 scissors
UW97 duck
